ID,Name,Price,"Quantity on Hand"
89,"Raspberry glace Sleeper Sofa","$1,279.99",32
90,"Gold Storage Bench",$194.99,44
91,"Unbleached silk Sofa",$1249.99,139
92,"Robin egg blue Nightstand",$81.99,214
93,"Dark jungle green Sleeper Sofa","$1,279.99",189
94,"Hollywood cerise Dresser",$599.99,82
95,"Middle purple End Table",$99.99,161
96,"Dark olive green Nightstand",$81.99,191
97,"Dark lava Reclining Sofa","$1,119.99",54
98,"Dark purple Stool",$54.99,30
99,"Sand dune Futon",$419.99,78
100,"Mahogany Loveseat",$669.99,40
101,"Chrome yellow Plant Stand",$42.99,60
102,"Pale aqua End Table",$99.99,126
103,"Onyx Sofa",$1249.99,237
104,"Tea green Nightstand",$81.99,229
105,"OU Crimson red Wardrobe",$719.99,46
106,"Venetian red Stool",$54.99,103
107,"United Nations blue Bench",$114.99,76
108,"Radical Red Bench",$114.99,167
109,"Midnight green Nightstand",$81.99,235
110,"Celadon green Sectional","$1,039.99",190
111,"Rose madder Sleeper Sofa","$1,279.99",91
112,"Ultra pink Plant Stand",$42.99,248
113,"Venetian red Sofa",$1249.99,68
114,"Mardi Gras purple Chaise Lounge",$235.99,168
115,"Malachite green Sleeper Sofa","$1,279.99",197
116,"Pale aqua Sectional","$1,039.99",94
117,"Rosy brown Plant Stand",$42.99,64
118,"Spanish carmine Daybed",$711.99,236
119,"Little boy blue Wardrobe",$719.99,110
120,"Morning blue Storage Bench",$194.99,89
121,"Orange-yellow Plant Stand",$42.99,73
122,"Cambridge blue Dining Chair",$89.99,40
123,"Steel Teal Sectional","$1,039.99",183
124,"Pastel pink Coffee Table",$222.95,81
125,"Fire engine red Nightstand",$81.99,126
126,"Blush Sleeper Sofa","$1,279.99",192
127,"Duke blue Crib",$289,165
128,"Plump Purple Reclining Loveseat","$1,023.99",79
129,"Firebrick Plant Stand",$42.99,151
130,"Misty rose Bed",$389.99,59
131,"Cornflower blue Daybed",$711.99,230
132,"Brilliant rose Crib",$289,142
133,"Lemon Storage Bench",$194.99,47
134,"Fire engine red Sofa",$1249.99,106
135,"Neon fuchsia End Table",$99.99,216
136,"Rose Dust Plant Stand",$42.99,182
137,"Shiny Shamrock End Table",$99.99,137
138,"Chinese yellow Storage Bench",$194.99,162
139,"Bottle green Stool",$54.99,231
140,"Fire opal Ottoman",$92.99,202
141,"Cosmic latte Ottoman",$92.99,199
142,"Maroon Sectional","$1,039.99",178
143,"French sky blue Futon",$419.99,154
144,"Pink Sherbet Sleeper Sofa","$1,279.99",97
145,"Bright navy blue Dining Chair",$89.99,204
146,"Golden poppy Headboard",$222.99,100
147,"Pink End Table",$99.99,76
148,"Light salmon Loveseat",$669.99,223
149,"Japanese violet Sleeper Sofa","$1,279.99",238
150,"French rose Coffee Table",$222.95,43
151,"Mango Dining Chair",$89.99,210
152,"Chrome yellow Nightstand",$81.99,121
153,"Pacific blue Dining Chair",$89.99,55
154,"Linen Reclining Loveseat","$1,023.99",116
155,"Pink Sherbet Loveseat",$669.99,174
156,"Celadon green Sleeper Sofa","$1,279.99",41
157,"Parchment Stool",$54.99,60
158,"Melon pink Ottoman",$92.99,85
159,"Mystic maroon Crib",$289,91
160,"English green Nightstand",$81.99,66
161,"Opera mauve Reclining Sofa","$1,119.99",96
162,"Pale silver Futon",$419.99,54
163,"Ultramarine blue Sofa",$1249.99,235
164,"Sand dune Coffee Table",$222.95,95
165,"Burnt orange Sleeper Sofa","$1,279.99",243
166,"Magenta Dresser",$599.99,107
167,"French beige Chaise Lounge",$235.99,195
168,"Bottle green End Table",$99.99,84
169,"Charm pink Sectional","$1,039.99",182
170,"Chinese red Nightstand",$81.99,80
171,"Rosewood Dresser",$599.99,179
172,"Star command blue Stool",$54.99,193
173,"Carnation pink Crib",$289,196
174,"Trypan Blue End Table",$99.99,181
175,"Parchment Daybed",$711.99,115
176,"Sunset Chaise Lounge",$235.99,197
177,"Carnation pink Futon",$419.99,215
178,"Thistle grey Dining Chair",$89.99,247
179,"Brilliant rose Dining Chair",$89.99,68
180,"Ultramarine blue Sectional","$1,039.99",159
181,"Cyan Futon",$419.99,44
182,"Taupe Crib",$289,191
183,"Dim gray Stool",$54.99,230
184,"Aqua Storage Bench",$194.99,247
185,"Purple pizzazz Crib",$289,70
186,"Pink flamingo Loveseat",$669.99,85
187,"Maroon Crib",$289,153
188,"Ocean green Chaise Lounge",$235.99,81
189,"Rust Plant Stand",$42.99,39
190,"Chocolate Cosmos Reclining Sofa","$1,119.99",192
191,"China rose Ottoman",$92.99,229
192,"Aquamarine Sectional","$1,039.99",226
193,"Lavender Wardrobe",$719.99,47
194,"Espresso Sleeper Sofa","$1,279.99",66
195,"Congo pink Nightstand",$81.99,63
196,"Super pink Loveseat",$669.99,143
197,"Turquoise blue Dresser",$599.99,161
198,"Powder blue Dresser",$599.99,127
199,"Spring Frost Reclining Sofa","$1,119.99",196
200,"Orange peel Bench",$114.99,71
201,"Pewter Blue Plant Stand",$42.99,27
202,"Mystic maroon Loveseat",$669.99,180
203,"Ash gray End Table",$99.99,97
204,"Light salmon Daybed",$711.99,88
205,"Wintergreen Dream Nightstand",$81.99,58
206,"Rosy brown Wardrobe",$719.99,38
207,"Middle blue Daybed",$711.99,148
208,"Slimy green Crib",$289,248
209,"Yale Blue Storage Bench",$194.99,68
210,"Baby blue Bench",$114.99,241
211,"Red Salsa Nightstand",$81.99,34
212,"Light blue Dining Table",$800,143
213,"Medium spring green Loveseat",$669.99,67
214,"Timberwolf grey Wardrobe",$719.99,162
215,"Red-purple Bench",$114.99,134
216,"Rose vale Reclining Loveseat","$1,023.99",125
217,"Brink pink Crib",$289,68
218,"Sepia Storage Bench",$194.99,117
219,"Vivid burgundy Chaise Lounge",$235.99,53
220,"Green-yellow Reclining Sofa","$1,119.99",243
221,"Lemon Crib",$289,178
222,"Sacramento State green Sleeper Sofa","$1,279.99",137
223,"Dark salmon End Table",$99.99,182
224,"Saffron Wardrobe",$719.99,205
225,"Light cornflower blue Reclining Loveseat","$1,023.99",65
226,"Dark jungle green Bench",$114.99,32
227,"Safety yellow Plant Stand",$42.99,38
228,"Army green Loveseat",$669.99,54
229,"Vanilla Ottoman",$92.99,137
230,"Denim blue Sofa",$1249.99,134
231,"Sapphire blue Reclining Loveseat","$1,023.99",52
232,"Chocolate Cosmos Daybed",$711.99,231
233,"Hansa yellow Crib",$289,215
234,"Blood red Futon",$419.99,125
235,"Deep taupe Loveseat",$669.99,82
236,"MSU green Ottoman",$92.99,114
237,"Honeydew Chaise Lounge",$235.99,137
238,"Medium turquoise Headboard",$222.99,106
239,"Persian green Crib",$289,104
240,"Teal blue Dining Table",$800,29
241,"Spanish orange Sleeper Sofa","$1,279.99",207
242,"Bluetiful Dining Chair",$89.99,25
243,"Languid lavender Reclining Sofa","$1,119.99",29
244,"Electric lime Bench",$114.99,238
245,"Dark sienna End Table",$99.99,112
246,"Cosmic cobalt Ottoman",$92.99,46
247,"Light blue Dining Table",$800,105
248,"Plum Headboard",$222.99,236
249,"Light salmon Sleeper Sofa","$1,279.99",230
250,"Rose quartz Loveseat",$669.99,224
251,"Flax Bed",$389.99,198
252,"Dartmouth green Futon",$419.99,42
253,"Old burgundy Dining Chair",$89.99,31
254,"Mauve taupe Dining Table",$800,29
255,"Hollywood cerise Plant Stand",$42.99,140
256,"Mellow apricot Sofa",$1249.99,113
257,"Carmine Coffee Table",$222.95,249
258,"Sap green Futon",$419.99,133
259,"Burnt orange Dining Chair",$89.99,110
260,"China pink Crib",$289,136
261,"Blood red Sectional","$1,039.99",101
262,"Mint green Reclining Loveseat","$1,023.99",244
263,"Steel Teal Loveseat",$669.99,94
264,"Pink Sherbet Crib",$289,202
265,"Hunter green Nightstand",$81.99,191
266,"Purple navy Loveseat",$669.99,129
267,"British racing green Headboard",$222.99,77
268,"Razzle dazzle rose Nightstand",$81.99,218
269,"Cadmium green Sofa",$1249.99,75
270,"Raspberry glace Plant Stand",$42.99,198
271,"Deep Space Sparkle Sofa",$1249.99,31
272,"Dark brown Wardrobe",$719.99,132
273,"Uranian blue Reclining Sofa","$1,119.99",57
274,"Wild watermelon Dining Table",$800,63
275,"Navajo white Wardrobe",$719.99,104
276,"Wine dregs maroon Plant Stand",$42.99,25
277,"Middle red Dining Table",$800,144
278,"Heliotrope gray Dresser",$599.99,28
279,"Chocolate Headboard",$222.99,189
280,"Amaranth purple Bed",$389.99,192
281,"Wine dregs maroon Bed",$389.99,116
282,"Burgundy Ottoman",$92.99,181
283,"Cool grey Ottoman",$92.99,81
284,"Sunglow Futon",$419.99,176
285,"Dark red Loveseat",$669.99,145
286,"Spanish blue Nightstand",$81.99,46
287,"Sizzling Sunrise yellow Coffee Table",$222.95,229
288,"Electric purple Dresser",$599.99,172
289,"Redwood Sofa",$1249.99,129
290,"Lincoln green Crib",$289,45
291,"Red Salsa Chaise Lounge",$235.99,132
292,"Turquoise green Storage Bench",$194.99,170
293,"Solid pink Bench",$114.99,50
294,"Periwinkle Crib",$289,207
295,"Tuscan red Chaise Lounge",$235.99,96
296,"Fluorescent blue Loveseat",$669.99,194
297,"Cadmium orange Wardrobe",$719.99,191
298,"Fuchsia Storage Bench",$194.99,219
299,"Phthalo blue End Table",$99.99,43
300,"Shimmering Blush Coffee Table",$222.95,149
301,"Lavender gray Dresser",$599.99,83
302,"Purple Plum Dining Chair",$89.99,163
303,"Chili red Sofa",$1249.99,199
304,"Prune Coffee Table",$222.95,64
305,"Amaranth red Ottoman",$92.99,73
306,"Dark red Stool",$54.99,32
307,"Paris Green Coffee Table",$222.95,43
308,"Old gold Dresser",$599.99,195
309,"Fuchsia Stool",$54.99,136
310,"Android green Loveseat",$669.99,242
311,"Mint Bench",$114.99,206
312,"Eton blue Headboard",$222.99,220
313,"Syracuse Orange Coffee Table",$222.95,209
314,"Cerulean Bed",$389.99,60
315,"French bistre Coffee Table",$222.95,80
316,"Portland Orange Chaise Lounge",$235.99,231
317,"Umber Daybed",$711.99,159
318,"Rosewood Reclining Sofa","$1,119.99",245
319,"Rose Ottoman",$92.99,145
320,"Rose vale Reclining Sofa","$1,119.99",63
321,"Light goldenrod yellow Wardrobe",$719.99,146
322,"Dark slate gray Headboard",$222.99,128
323,"Antique white Ottoman",$92.99,161
324,"Livid blue Loveseat",$669.99,104
325,"International orange Storage Bench",$194.99,99
326,"Resolution blue Ottoman",$92.99,169
327,"Hot pink Bench",$114.99,192
328,"Rose pink Storage Bench",$194.99,158
329,"June bud Sleeper Sofa","$1,279.99",34
330,"Chocolate Headboard",$222.99,99
331,"Cobalt blue Dining Table",$800,216
332,"Dark moss green Headboard",$222.99,161
333,"Turtle green Ottoman",$92.99,96
334,"Uranian blue Nightstand",$81.99,114
335,"Snow white Bed",$389.99,36
336,"Saddle brown Plant Stand",$42.99,43
337,"Linen Sleeper Sofa","$1,279.99",66
338,"Orange Nightstand",$81.99,41
339,"Non-photo blue End Table",$99.99,103
340,"Teal Headboard",$222.99,95
341,"Dogwood rose Ottoman",$92.99,228
342,"Golden yellow Plant Stand",$42.99,216
343,"Warm black Reclining Loveseat","$1,023.99",137
344,"Orange peel Stool",$54.99,195
345,"Burnished brown Storage Bench",$194.99,161
346,"Deep Space Sparkle Crib",$289,50
347,"Silver chalice Ottoman",$92.99,130
348,"Spanish orange Sofa",$1249.99,113
349,"Orange-yellow Stool",$54.99,118
350,"Ocean Blue Plant Stand",$42.99,173
351,"Naples yellow Futon",$419.99,215
352,"Dark green Reclining Loveseat","$1,023.99",45
353,"Jazzberry jam Plant Stand",$42.99,205
354,"Blush Storage Bench",$194.99,143
355,"Dark lava Futon",$419.99,70
356,"Mountain Meadow green Reclining Loveseat","$1,023.99",148
357,"Thistle grey End Table",$99.99,89
358,"Royal yellow Plant Stand",$42.99,201
359,"Alabaster Reclining Sofa","$1,119.99",227
360,"Maximum green Dining Table",$800,79
361,"Violet-blue Reclining Sofa","$1,119.99",239
362,"International orange Stool",$54.99,195
363,"Alloy orange Nightstand",$81.99,194
364,"Persian plum Headboard",$222.99,42
365,"Spring green Sleeper Sofa","$1,279.99",96
366,"Maximum green yellow Dining Table",$800,84
367,"Floral white Reclining Sofa","$1,119.99",210
368,"Dark magenta Reclining Sofa","$1,119.99",215
369,"Princeton orange Coffee Table",$222.95,121
370,"Dark lava Plant Stand",$42.99,244
371,"Phthalo green Dining Table",$800,69
372,"Princeton orange Reclining Sofa","$1,119.99",206
373,"Queen pink Dining Chair",$89.99,158
374,"Carnation pink Headboard",$222.99,206
375,"Pewter Blue Headboard",$222.99,180
376,"Morning blue Bench",$114.99,62
377,"Thulian pink Plant Stand",$42.99,60
378,"French pink Loveseat",$669.99,147
379,"French raspberry Sleeper Sofa","$1,279.99",43
380,"Cream Coffee Table",$222.95,215
381,"Champagne pink Bench",$114.99,133
382,"Nadeshiko pink Chaise Lounge",$235.99,56
383,"Davy's grey Dresser",$599.99,174
384,"Ultra pink Dresser",$599.99,226
385,"Ruby Storage Bench",$194.99,66
386,"China rose Sleeper Sofa","$1,279.99",205
387,"Lemon curry Coffee Table",$222.95,97
388,"Antique bronze Dining Chair",$89.99,173
389,"Tango pink Wardrobe",$719.99,112
390,"Ocean green End Table",$99.99,250
391,"Prune Ottoman",$92.99,50
392,"Cocoa brown Bed",$389.99,164
393,"Charleston green Dining Chair",$89.99,169
394,"Blue-violet End Table",$99.99,38
395,"Baker-Miller pink Sectional","$1,039.99",33
396,"Key lime Sectional","$1,039.99",154
397,"Heliotrope gray Futon",$419.99,162
398,"Lime green Bed",$389.99,190
399,"Heliotrope Storage Bench",$194.99,123
400,"Persian red Coffee Table",$222.95,211
401,"International orange Sleeper Sofa","$1,279.99",239
402,"Prussian blue Chaise Lounge",$235.99,132
403,"Blood red Sofa",$1249.99,246
404,"Red Salsa Reclining Sofa","$1,119.99",146
405,"Maximum red Ottoman",$92.99,244
406,"Linen Nightstand",$81.99,71
407,"Tea rose Loveseat",$669.99,190
408,"Sepia Sectional","$1,039.99",196
409,"French lime Sleeper Sofa","$1,279.99",63
410,"Granny Smith apple Wardrobe",$719.99,72
411,"Mardi Gras purple Sofa",$1249.99,88
412,"Light steel blue Dresser",$599.99,188
413,"Pale aqua End Table",$99.99,167
414,"OU Crimson red Dining Table",$800,193
415,"Polished Pine Wardrobe",$719.99,222
416,"Yellow Sectional","$1,039.99",160
417,"Crimson Reclining Sofa","$1,119.99",106
418,"Maximum purple Reclining Loveseat","$1,023.99",30
419,"Laser lemon Bed",$389.99,182
420,"Cadmium green Ottoman",$92.99,67
421,"Bitter lemon Coffee Table",$222.95,152
422,"Mint green Nightstand",$81.99,178
423,"Electric blue Reclining Sofa","$1,119.99",151
424,"Raisin black Ottoman",$92.99,185
425,"Middle yellow Stool",$54.99,175
426,"Silver pink Loveseat",$669.99,172
427,"Mimi pink Reclining Sofa","$1,119.99",196
428,"Terra cotta Wardrobe",$719.99,102
429,"Yale Blue Wardrobe",$719.99,240
430,"Parchment Stool",$54.99,239
431,"Amber Plant Stand",$42.99,243
432,"Castleton green Nightstand",$81.99,227
433,"Medium champagne End Table",$99.99,145
434,"Blue-violet Daybed",$711.99,194
435,"Cinnabar Plant Stand",$42.99,67
436,"Quinacridone magenta Sleeper Sofa","$1,279.99",171
437,"Sweet Brown Chaise Lounge",$235.99,179
438,"Pacific blue Futon",$419.99,186
439,"Cyan Futon",$419.99,137
440,"English lavender Reclining Loveseat","$1,023.99",27
441,"Red Salsa Sectional","$1,039.99",170
442,"Alloy orange Futon",$419.99,223
443,"Turquoise Chaise Lounge",$235.99,226
444,"Han blue Dresser",$599.99,148
445,"Spanish green Sofa",$1249.99,154
446,"Sapphire Daybed",$711.99,89
447,"MSU green Dresser",$599.99,59
448,"Bright yellow Dining Table",$800,55
449,"Shadow blue Stool",$54.99,147
450,"Espresso Daybed",$711.99,214
451,"Dark chocolate End Table",$99.99,112
452,"Maximum red Stool",$54.99,27
453,"Han purple Bed",$389.99,173
454,"Orchid pink Crib",$289,125
455,"UA blue Wardrobe",$719.99,140
456,"Electric purple Headboard",$222.99,50
457,"Turquoise blue Stool",$54.99,133
458,"Tuscan brown Wardrobe",$719.99,89
459,"Maximum blue purple Reclining Loveseat","$1,023.99",85
460,"Medium carmine Storage Bench",$194.99,165
461,"Wine dregs maroon Chaise Lounge",$235.99,154
462,"Amaranth red Dresser",$599.99,77
463,"Paris Green Wardrobe",$719.99,102
464,"Timberwolf grey Reclining Loveseat","$1,023.99",163
465,"Pink Wardrobe",$719.99,31
466,"Mystic maroon Bench",$114.99,161
467,"Tea rose Dresser",$599.99,138
468,"Chrome yellow Coffee Table",$222.95,41
469,"Tomato red Headboard",$222.99,206
470,"Mustard yellow Wardrobe",$719.99,211
471,"Sunglow Dining Chair",$89.99,27
472,"Shadow blue Stool",$54.99,43
473,"French bistre Reclining Sofa","$1,119.99",165
474,"Mahogany Wardrobe",$719.99,156
475,"Maximum red purple Dining Table",$800,187
476,"Firebrick Chaise Lounge",$235.99,199
477,"Cadmium yellow Crib",$289,235
478,"Orange soda Sofa",$1249.99,72
479,"Silver chalice Bed",$389.99,61
480,"Mauve taupe Storage Bench",$194.99,155
481,"Light steel blue Crib",$289,150
482,"Rose bonbon Bed",$389.99,227
483,"Tart Orange Reclining Loveseat","$1,023.99",65
484,"Brick red Dining Table",$800,219
485,"Maximum purple Nightstand",$81.99,63
486,"Candy apple red Daybed",$711.99,192
487,"Roman silver Sectional","$1,039.99",178
488,"Russian green Sofa",$1249.99,59
489,"Blood red Stool",$54.99,108
490,"Acid green Sofa",$1249.99,162
491,"Payne's grey Chaise Lounge",$235.99,229
492,"Wild watermelon Coffee Table",$222.95,92
493,"Cadmium orange Ottoman",$92.99,225
494,"Golden brown End Table",$99.99,156
495,"Medium aquamarine End Table",$99.99,170
496,"Middle red Ottoman",$92.99,164
497,"Powder blue Loveseat",$669.99,236
498,"Rose bonbon Reclining Loveseat","$1,023.99",72
499,"Blond End Table",$99.99,184
500,"Yellow Futon",$419.99,125
501,"Magenta haze Daybed",$711.99,207
502,"Rich black Loveseat",$669.99,178
503,"MSU green Ottoman",$92.99,51
504,"Lion gold Chaise Lounge",$235.99,32
505,"Laurel green Loveseat",$669.99,132
506,"Dark red Plant Stand",$42.99,119
507,"Neon Carrot Reclining Sofa","$1,119.99",183
508,"Dark orange Stool",$54.99,98
509,"UP Forest green Sectional","$1,039.99",139
510,"Razzmatazz Sleeper Sofa","$1,279.99",174
511,"Baby powder blue Storage Bench",$194.99,146
512,"Telemagenta End Table",$99.99,225
513,"Amethyst Dining Chair",$89.99,208
514,"Turtle green Reclining Loveseat","$1,023.99",30
515,"Violet-red End Table",$99.99,144
516,"Hansa yellow Plant Stand",$42.99,94
517,"Deep saffron Wardrobe",$719.99,66
518,"Purple mountain majesty Reclining Sofa","$1,119.99",58
519,"Lemon chiffon End Table",$99.99,127
520,"Medium slate blue Dining Table",$800,130
521,"Unbleached silk Headboard",$222.99,25
522,"White Sectional","$1,039.99",110
523,"Strawberry Blonde Storage Bench",$194.99,196
524,"Ghost white Loveseat",$669.99,183
525,"Pictorial carmine Bench",$114.99,33
526,"Minion yellow Chaise Lounge",$235.99,128
527,"Bright lilac Reclining Sofa","$1,119.99",93
528,"Violet-blue Dining Chair",$89.99,25
529,"French lilac Wardrobe",$719.99,223
530,"English violet Stool",$54.99,114
531,"Imperial red Bed",$389.99,231
532,"Sugar Plum Coffee Table",$222.95,82
533,"Slimy green Wardrobe",$719.99,202
534,"Unbleached silk End Table",$99.99,224
535,"English vermillion Headboard",$222.99,133
536,"Duke blue Chaise Lounge",$235.99,116
537,"Violet-red Nightstand",$81.99,46
538,"Rose quartz Sleeper Sofa","$1,279.99",31
539,"Dark sky blue Wardrobe",$719.99,42
540,"Han purple Chaise Lounge",$235.99,134
541,"Lemon Bench",$114.99,59
542,"Asparagus green Sleeper Sofa","$1,279.99",238
543,"Sunray gold Dining Chair",$89.99,78
544,"Pink Sherbet Dining Table",$800,153
545,"Morning blue Bed",$389.99,213
546,"Teal blue Ottoman",$92.99,32
547,"Beau blue Bench",$114.99,135
548,"Pale Dogwood Bed",$389.99,46
549,"Platinum Futon",$419.99,180
550,"Red Salsa Sleeper Sofa","$1,279.99",41
551,"Misty moss green Storage Bench",$194.99,128
552,"Silver pink Daybed",$711.99,63
553,"Yellow-green Dining Table",$800,99
554,"Twilight lavender Coffee Table",$222.95,67
555,"Heliotrope gray Futon",$419.99,75
556,"Metallic Sunburst Plant Stand",$42.99,223
557,"Salmon Stool",$54.99,30
558,"Blue jeans Dining Chair",$89.99,70
559,"Navajo white Crib",$289,247
560,"Black coffee Dresser",$599.99,155
561,"Phthalo green Dining Table",$800,71
562,"Electric purple Coffee Table",$222.95,117
563,"French sky blue Ottoman",$92.99,43
564,"International Klein Blue End Table",$99.99,172
565,"Dark brown Sleeper Sofa","$1,279.99",34
566,"Dark green Reclining Sofa","$1,119.99",243
567,"Black coral Dresser",$599.99,54
568,"Drab Sleeper Sofa","$1,279.99",190
569,"Saffron Loveseat",$669.99,171
570,"Pakistan green Sleeper Sofa","$1,279.99",177
571,"Fawn Ottoman",$92.99,94
572,"Linen Dining Table",$800,154
573,"Russian green Ottoman",$92.99,195
574,"British racing green Futon",$419.99,241
575,"Violet-red Stool",$54.99,36
576,"Blue sapphire Stool",$54.99,59
577,"Green Sheen Coffee Table",$222.95,39
578,"Safety yellow Chaise Lounge",$235.99,222
579,"Persian plum Dining Table",$800,36
580,"Key lime Dining Table",$800,230
581,"Dark magenta Dresser",$599.99,64
582,"Magnolia Coffee Table",$222.95,241
583,"Pictorial carmine Dining Chair",$89.99,166
584,"Moss green Crib",$289,89
585,"Old gold Crib",$289,45
586,"Schauss pink Coffee Table",$222.95,35
587,"Ultramarine blue Stool",$54.99,27
588,"Picotee blue Chaise Lounge",$235.99,213
589,"Wild orchid End Table",$99.99,53
590,"Green Wardrobe",$719.99,107
591,"Jungle green Headboard",$222.99,110
592,"Medium purple Sofa",$1249.99,131
593,"Sunray gold Dining Chair",$89.99,96
594,"Sky blue Dining Chair",$89.99,93
595,"Rosewood Reclining Loveseat","$1,023.99",210
596,"Burlywood Nightstand",$81.99,183
597,"Orchid Dining Table",$800,212
598,"Livid blue Crib",$289,100
599,"Ultramarine Daybed",$711.99,83
600,"Sacramento State green Futon",$419.99,29
601,"Alabaster Sleeper Sofa","$1,279.99",196
602,"Lilac Dining Chair",$89.99,176
603,"Light coral Futon",$419.99,85
604,"UA red Chaise Lounge",$235.99,201
605,"Copper rose Plant Stand",$42.99,135
606,"Dark slate gray Futon",$419.99,96
607,"Electric lime Daybed",$711.99,120
608,"French bistre Chaise Lounge",$235.99,57
609,"Cadmium green Dining Table",$800,48
610,"Beau blue Storage Bench",$194.99,196
611,"Ultra pink Chaise Lounge",$235.99,203
612,"Cinnamon Satin Headboard",$222.99,132
613,"Vivid tangerine Dresser",$599.99,246
614,"Dark sea green Nightstand",$81.99,247
615,"Brilliant rose Bed",$389.99,81
616,"Polished Pine Dresser",$599.99,145
617,"Sonic silver Chaise Lounge",$235.99,212
618,"Blue-green Storage Bench",$194.99,149
619,"Pear Nightstand",$81.99,149
620,"Deep jungle green Chaise Lounge",$235.99,239
621,"Ruby red Coffee Table",$222.95,42
622,"Apple green Sectional","$1,039.99",164
623,"Carnation pink Coffee Table",$222.95,73
624,"Laurel green Nightstand",$81.99,182
625,"Fern green Coffee Table",$222.95,176
626,"Ocean green Plant Stand",$42.99,62
627,"Pink lace Daybed",$711.99,114
628,"English green Loveseat",$669.99,239
629,"Khaki Stool",$54.99,216
630,"Safety yellow Sofa",$1249.99,81
631,"White Stool",$54.99,187
632,"Medium slate blue Plant Stand",$42.99,62
633,"Electric violet Sofa",$1249.99,170
634,"Lemon chiffon Headboard",$222.99,46
635,"Crimson Sectional","$1,039.99",95
636,"Lavender blush Chaise Lounge",$235.99,224
637,"Steel Teal Plant Stand",$42.99,99
638,"Medium slate blue Crib",$289,218
